sentID.BTEC	split	lang	sent
0	corpus-6-train	FR	C'est un peu plus loin dans le couloir. Je vais vous en apporter maintenant. Si vous avez besoin d'autre chose, dites-le moi.
2	corpus-6-train	FR	Est-ce que vous faites des retouches?
4	corpus-6-train	FR	Nous voulons une table près de la fenêtre.
5	corpus-6-test-corpus-26-train	FR	C'est là-bas, juste en face du bureau d'information touristique.
9	corpus-6-test-corpus-26-train	FR	Je ne connais pas cette adresse près d'ici.
11	corpus-6-test-corpus-26-train	FR	Continuez tout droit jusqu'à ce que vous voyiez une pharmacie.
12	corpus-6-train	FR	Quelle est la nouvelle couleur de cette saison?
14	corpus-6-train	FR	Dans mon cas, c'est habituellement pour les affaires, rarement pour le plaisir.
15	corpus-6-train	FR	Je vais rester deux jours.
16	corpus-6-train	FR	Je veux une permanente serrée.
17	corpus-6-train	FR	Je voudrais réserver deux chambres à deux lits.
18	corpus-6-train	FR	Je ne veux pas qu'on me l'arrache.
19	corpus-6-train	FR	Est-ce que ce bus s'arrête à Stoner Avenue?
24	corpus-6-train	FR	Veuillez ouvrir grand la bouche.
26	corpus-6-test-corpus-26-train	FR	Combien coûte le petit déjeuner?
27	corpus-6-test-corpus-26-train	FR	Comment puis-je vous aider?
29	corpus-6-train	FR	Allons manger un morceau.
30	corpus-6-test-corpus-26-train	FR	Tournez à gauche à la troisième rue.
31	corpus-6-train	FR	Pourriez-vous nettoyer ces vêtements?
37	corpus-6-dev	FR	Je vous donne son numéro de téléphone et son adresse.
38	corpus-6-train	FR	J'ai réglé d'avance la chambre d'hôtel et les repas.
40	corpus-6-train	FR	Je cherche un restaurant de type grill, bon et calme. Pourriez-vous m'en désigner un sur ce plan?
42	corpus-6-train	FR	Si vous le cassez, vous l'achetez.
46	corpus-6-train	FR	Je lui dirai de vous appeler dès qu'elle rentrera.
50	corpus-6-test-corpus-26-train	FR	Voulez-vous de la crème et du sucre dans votre café?
51	corpus-6-train	FR	Elle est gravement blessée.
52	corpus-6-train	FR	Je voudrais un briquet.
53	corpus-6-train	FR	Cet hôtel dispose-t-il d'une salle de conférence?
56	corpus-6-train	FR	Un léger repas vous conviendra-t-il?
57	corpus-6-train	FR	J'appelle de l'aéroport. Je serai là vers seize heures.
62	corpus-6-train	FR	Où dois-je prendre ma correspondance pour Chicago?
63	corpus-6-train	FR	Combien coûte l'envoi d'une lettre recommandée en France?
64	corpus-6-test-corpus-26-train	FR	Pourriez-vous me verser les deux cents dollars de ce chèque?
68	corpus-6-train	FR	C'est vraiment différent de rouler du côté droit de la route.
69	corpus-6-train	FR	Cet acteur est vraiment merveilleux.
72	corpus-6-train	FR	Où se trouve le rayon ouvrages généraux?
74	corpus-6-test-corpus-26-train	FR	S'il arrive, appelez-moi s'il vous plaît.
78	corpus-6-dev	FR	Pourriez-vous changer ma place, s'il vous plaît?
79	corpus-6-train	FR	Y a-t-il une garantie?
83	corpus-6-train	FR	Désolé. Je vais m'occuper du chien.
84	corpus-6-train	FR	"Je voudrais deux billets pour ""Cats"", pour ce jeudi."
86	corpus-6-test-corpus-26-train	FR	Où se trouve le café?
87	corpus-6-test-corpus-26-train	FR	Je voudrais un pull-over pour enfant.
89	corpus-6-dev	FR	Redonnez-moi votre nom?
90	corpus-6-train	FR	Est-ce que M. Brown est ici?
91	corpus-6-test-corpus-26-train	FR	D'accord. Ça fait quatre-vingt-cinq cents en courrier normal, avec trois dollars de plus pour une livraison express.
92	corpus-6-train	FR	Est-ce que je peux louer un bateau pour une journée?
93	corpus-6-train	FR	A quel guichet puis-je faire une réservation?
94	corpus-6-train	FR	Qu'est-ce que c'est que cela?
96	corpus-6-train	FR	Pourriez-vous m'indiquer comment me rendre à l'opéra?
97	corpus-6-train	FR	Chéri, tu n'aurais pas bu un petit verre de trop la nuit dernière?
98	corpus-6-train	FR	Veuillez suivre les instructions de notre personnel.
100	corpus-6-dev	FR	Y a-t-il un grand magasin près d'ici?
102	corpus-6-train	FR	Le plein, s'il vous plaît.
103	corpus-6-train	FR	N'auriez-vous pas des chambres moins chères?
104	corpus-6-train	FR	Je préfère les voitures automatiques.
105	corpus-6-train	FR	Je vais loger au foyer d'étudiants de l'Université d'Harvard.
106	corpus-6-train	FR	Quel est le taux du jour?
108	corpus-6-train	FR	Je souffre d'asthme chronique.
109	corpus-6-train	FR	J'ai environ trois mille dollars.
111	corpus-6-train	FR	C'est d'accord, Monsieur. Vous avez le choix entre des frites et du riz pilaf? Que désirez-vous?
112	corpus-6-train	FR	Comment puis-je me rendre à cet endroit?
113	corpus-6-train	FR	De quelle sorte d'histoire s'agit-il?
115	corpus-6-train	FR	Trois fois.
116	corpus-6-train	FR	Quel guichet vend des timbres?
117	corpus-6-train	FR	Après m'avoir attaqué, il s'est enfui à bord d'une camionnette blanche.
119	corpus-6-train	FR	D'accord. Veuillez conserver ce reçu et le présenter quand vous viendrez le chercher.
120	corpus-6-test-corpus-26-test	FR	Je l'achèterais si j'étais vous.
122	corpus-6-train	FR	Deux cents dollars. Espèces ou carte de crédit?
125	corpus-6-train	FR	Combien de temps faut-il pour traverser?
128	corpus-6-train	FR	Dois-je éviter certains aliments pendant ce traitement?
129	corpus-6-test-corpus-26-train	FR	Est-ce que j'aurai des problèmes avec la douane?
130	corpus-6-test-corpus-26-train	FR	Avez-vous des chaussures habillées mais larges au niveau des orteils?
131	corpus-6-train	FR	Puis-je avoir du vin rouge, s'il vous plaît?
133	corpus-6-train	FR	Dites-moi quand nous arriverons au musée.
134	corpus-6-dev	FR	Cet autocar va-t-il à l'Hôtel Sheraton?
135	corpus-6-dev	FR	J'en ai pour combien?
136	corpus-6-dev	FR	Il fait un peu chaud. Puis-je ouvrir la fenêtre?
138	corpus-6-train	FR	Une douche sera parfaite.
139	corpus-6-dev	FR	J'ai les yeux injectés de sang.
140	corpus-6-test-corpus-26-train	FR	Non. Puis-je vous suggérer à la place une chambre avec deux lits. J'en ai une de disponible.
142	corpus-6-dev	FR	Je ne peux pas le garantir, mais nous ferons de notre mieux.
143	corpus-6-test-corpus-26-train	FR	Je voudrais une permanente serrée.
144	corpus-6-train	FR	On pouvait voir la mer au loin.
145	corpus-6-test-corpus-26-train	FR	Elle veut une bière.
146	corpus-6-train	FR	Vous avez besoin d'une opération.
147	corpus-6-train	FR	Encore des œufs, s'il vous plaît.
148	corpus-6-train	FR	Où se trouve l'arrêt de bus pour Central Park?
149	corpus-6-train	FR	Les taxis?
151	corpus-6-train	FR	Voici votre clé, Monsieur. Chambre cinq mille six cent douze.
153	corpus-6-train	FR	J'adore votre pull-over.
154	corpus-6-train	FR	Allez-y.
155	corpus-6-train	FR	Nous y sommes. Voici votre hôtel.
156	corpus-6-dev	FR	Quand se déroule le match de basket-ball?
157	corpus-6-test-corpus-26-train	FR	Bonjour. Comment allez-vous?
158	corpus-6-test-corpus-26-train	FR	Je dois vous demander une pièce d'identité.
159	corpus-6-train	FR	Qu'est-ce que vous en avez pensé?
160	corpus-6-train	FR	Certainement. Voulez-vous votre café avec votre dîner ou plus tard?
161	corpus-6-train	FR	Je prends le vol douze pour Tokyo.
162	corpus-6-train	FR	J'aimerais passer un appel longue distance, s'il vous plaît.
163	corpus-6-train	FR	Cinq mois.
168	corpus-6-train	FR	Quels jours de la semaine?
169	corpus-6-test-corpus-26-train	FR	Quel genre de tenue?
170	corpus-6-test-corpus-26-train	FR	C'est plutôt froid. Pouvez-vous le réchauffer?
172	corpus-6-train	FR	Je voudrais du gel coiffant.
173	corpus-6-test-corpus-26-test	FR	Désolé, cette place est déjà prise.
174	corpus-6-train	FR	Pouvons-nous voir le menu?
175	corpus-6-train	FR	Je fais une taille trente-six.
176	corpus-6-test-corpus-26-train	FR	Ça va, mais pourriez-vous appeler mon ami?
177	corpus-6-test-corpus-26-test	FR	Merci. Ce sera tout.
178	corpus-6-train	FR	Aucun taxi ne s'arrêtera si vous n'attendez pas à la station.
179	corpus-6-train	FR	Mon budget ne me permet pas une chambre de cinquante dollars la nuit.
180	corpus-6-train	FR	Pourriez-vous prendre une photo de nous deux?
181	corpus-6-train	FR	Quels sont les frais de service?
182	corpus-6-train	FR	Est-ce que le chiffre d'affaires en Amérique du Nord a augmenté de plus de cinq pour cent?
184	corpus-6-test-corpus-26-train	FR	Qui est votre meilleur ami?
186	corpus-6-train	FR	Savez-vous que l'un des meilleurs champions de sumo, une sorte de lutte traditionnelle japonaise, est américain?
187	corpus-6-test-corpus-26-train	FR	Le dix octobre, Journée des Sports et de la Santé, est un jour férié destinée à encourager une vie saine.
188	corpus-6-train	FR	C'est pour Wall Street?
189	corpus-6-train	FR	J'aimerais le louer du cinq au dix décembre.
191	corpus-6-train	FR	D'accord. Et vous, madame?
192	corpus-6-test-corpus-26-train	FR	Voulez-vous que je vérifie sous le capot?
195	corpus-6-train	FR	Du sucre?
196	corpus-6-train	FR	Puis-je régler par Master Card?
198	corpus-6-train	FR	Est-ce le bon endroit pour récupérer les bagages du NW neuf ou sept?
199	corpus-6-train	FR	Je vais prendre cette marque.
204	corpus-6-train	FR	Je suis si heureux d'avoir pu venir dans ce pays.
205	corpus-6-train	FR	Mon nom et mon adresse y sont indiqués.
206	corpus-6-test-corpus-26-train	FR	Pourriez-vous m'aider à trouver ma valise?
207	corpus-6-dev	FR	De quelle sorte de pierre s'agit-il?
208	corpus-6-train	FR	J'aimerais vous faire remarquer que notre gouvernement est intransigeant avec les boat people. Je n'ignore pas que le Japon est déjà bien trop surpeuplé pour laisser entrer ces invités indésirables, mais plusieurs de nos secteurs industriels ont quand même besoin de main-d'œuvre.
209	corpus-6-train	FR	De cette montagne, vous pouvez voir toute la ville. En cette saison, il y pousse toutes sortes de fleurs. Elles sont très belles.
213	corpus-6-train	FR	Suivez-moi.
217	corpus-6-train	FR	Veuillez lui dire que Yamada a appelé.
221	corpus-6-test-corpus-26-train	FR	Pourriez-vous prendre toutes les dispositions d'avance?
224	corpus-6-train	FR	D'accord, veuillez remplir ce formulaire. C'est seulement pour un sac?
225	corpus-6-train	FR	Que préférez-vous? Du bœuf, du poulet ou du poisson?
227	corpus-6-train	FR	Est-il possible de prendre des itinéraires différents pour l'aller et le retour?
228	corpus-6-train	FR	Y a-t-il un snack-bar ici?
229	corpus-6-dev	FR	Excusez-moi, Monsieur. J'aimerais visiter Boston.
232	corpus-6-train	FR	Avez-vous un menu en japonais?
235	corpus-6-train	FR	Il est treize heures cinq.
238	corpus-6-test-corpus-26-train	FR	On s'occupe de moi. Merci.
239	corpus-6-train	FR	Je voudrais un analgésique.
240	corpus-6-train	FR	Qui est votre actrice préférée?
241	corpus-6-train	FR	J'en voudrais un ovale.
242	corpus-6-train	FR	Quel genre de musique joue-t-on ici?
243	corpus-6-train	FR	Je n'aime pas la couleur. Vous pouvez m'en montrer une autre, s'il vous plaît.
246	corpus-6-train	FR	Veuillez m'emmener au marché du matin.
248	corpus-6-train	FR	La monture de mes lunettes est cassée.
250	corpus-6-train	FR	A partir de trois heures.
252	corpus-6-train	FR	Génial. J'ai un siège près de la fenêtre. Euh, si vous voulez changer de place tout à l'heure, mademoiselle.
255	corpus-6-train	FR	J'ai beaucoup aimé la visite de New York hier.
256	corpus-6-dev	FR	Le sac à main bleu en vitrine m'intéresse.
258	corpus-6-train	FR	En cas de problème, contactez le propriétaire.
259	corpus-6-train	FR	Faites-moi un shampooing et coiffez-moi comme maintenant, s'il vous plaît.
261	corpus-6-test-corpus-26-train	FR	Quand vous arriverez là-bas, demandez à quelqu'un d'autre, s'il vous plaît.
263	corpus-6-train	FR	Veuillez m'indiquer le chemin le plus court pour aller à San Francisco.
267	corpus-6-train	FR	Puis-je avoir la clé de la chambre deux cent quinze, s'il vous plaît?
268	corpus-6-train	FR	Excusez-moi. Pourriez-vous me prendre en photo, s'il vous plaît?
269	corpus-6-train	FR	Inscrivez simplement votre numéro de chambre et signez ici.
271	corpus-6-train	FR	J'aime bien la couleur mais ce n'est pas la bonne taille. Pourriez-vous la retoucher d'ici une heure?
272	corpus-6-train	FR	Ce jour-là, nous vous avons attendu.
274	corpus-6-train	FR	Nous en avons assez pour tenir pendant un ou deux jours.
275	corpus-6-train	FR	Je ne comprends pas.
277	corpus-6-train	FR	Comment puis-je retourner à mon point de départ?
278	corpus-6-train	FR	Est-ce que c'est détaxé?
279	corpus-6-train	FR	Eh bien, ils devront faire d'autres tours de batte pour se départager.
